iter,objective,gap,alpha
204,1.674880e+07,1.073250e-05,0.004641
205,1.674880e+07,1.366090e-05,0.005120
206,1.674880e+07,1.267243e-05,0.005002
207,1.674880e+07,1.297049e-05,0.005293
208,1.674879e+07,1.283356e-05,0.005452
209,1.674879e+07,1.004244e-05,0.003801
210,1.674879e+07,1.240366e-05,0.006098
211,1.674879e+07,1.341856e-05,0.005251
212,1.674879e+07,1.093405e-05,0.004202
213,1.674879e+07,1.221693e-05,0.006205
214,1.674878e+07,1.439305e-05,0.005383
215,1.674878e+07,1.163861e-05,0.004333
216,1.674878e+07,1.119109e-05,0.005406
217,1.674878e+07,1.363494e-05,0.006076
218,1.674878e+07,1.096151e-05,0.003986
219,1.674877e+07,1.147646e-05,0.005569
220,1.674877e+07,1.376445e-05,0.006225
221,1.674877e+07,9.186383e-06,0.002532
