iter,objective,gap,alpha
186,8.279568e+05,3.217331e-05,0.007233
187,8.279565e+05,3.385687e-05,0.007535
188,8.279562e+05,3.428679e-05,0.006727
189,8.279558e+05,3.395168e-05,0.008174
190,8.279555e+05,3.201931e-05,0.006709
191,8.279552e+05,2.495304e-05,0.004851
192,8.279550e+05,2.989912e-05,0.007486
193,8.279548e+05,2.378413e-05,0.003897
194,8.279545e+05,3.310698e-05,0.007614
195,8.279543e+05,2.844186e-05,0.004864
196,8.279539e+05,3.445809e-05,0.007880
197,8.279538e+05,2.517039e-05,0.003833
198,8.279535e+05,3.096131e-05,0.006228
199,8.279533e+05,3.015751e-05,0.005678
200,8.279531e+05,2.460680e-05,0.005147
201,8.279527e+05,4.201068e-05,0.010063
202,8.279524e+05,3.087076e-05,0.005652
203,8.279521e+05,3.294371e-05,0.007788
204,8.279518e+05,2.915431e-05,0.005085
205,8.279515e+05,3.112356e-05,0.007699
206,8.279514e+05,2.374123e-05,0.004001
207,8.279510e+05,3.855486e-05,0.010309
208,8.279507e+05,2.747006e-05,0.005114
209,8.279504e+05,3.615173e-05,0.007748
210,8.279501e+05,3.142717e-05,0.006257
211,8.279499e+05,2.416311e-05,0.004519
212,8.279496e+05,3.313694e-05,0.007950
213,8.279495e+05,2.303937e-05,0.003951
214,8.279491e+05,3.647896e-05,0.009431
215,8.279490e+05,2.511275e-05,0.003775
216,8.279488e+05,2.713238e-05,0.005525
217,8.279486e+05,1.812645e-05,0.003612
218,8.279484e+05,3.243662e-05,0.007308
219,8.279482e+05,2.196626e-05,0.004262
220,8.279480e+05,2.888943e-05,0.005905
221,8.279478e+05,2.743814e-05,0.005832
222,8.279476e+05,2.677875e-05,0.005941
223,8.279474e+05,2.719457e-05,0.005436
224,8.279472e+05,2.115404e-05,0.003686
225,8.279471e+05,2.202458e-05,0.005066
226,8.279469e+05,2.706394e-05,0.005773
227,8.279467e+05,2.475265e-05,0.005228
228,8.279465e+05,1.974277e-05,0.003986
229,8.279464e+05,2.472094e-05,0.004871
230,8.279461e+05,3.313080e-05,0.007708
231,8.279460e+05,1.798211e-05,0.002968
232,8.279457e+05,3.290022e-05,0.007645
233,8.279456e+05,2.139835e-05,0.003567
234,8.279453e+05,3.182574e-05,0.008261
235,8.279451e+05,2.275304e-05,0.003755
236,8.279450e+05,2.320679e-05,0.005152
237,8.279448e+05,2.496867e-05,0.004980
238,8.279447e+05,1.835875e-05,0.003676
239,8.279445e+05,2.617830e-05,0.006186
240,8.279444e+05,2.235720e-05,0.003913
241,8.279442e+05,2.280133e-05,0.005273
242,8.279440e+05,2.464653e-05,0.005126
243,8.279439e+05,2.473577e-05,0.005193
244,8.279437e+05,2.750459e-05,0.005803
245,8.279435e+05,2.295941e-05,0.004574
246,8.279433e+05,2.551974e-05,0.006177
247,8.279432e+05,2.427580e-05,0.004457
248,8.279430e+05,2.390433e-05,0.004857
249,8.279428e+05,2.523643e-05,0.005258
